vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
VTS,2010-01-26 07:41:00,2010-01-26 07:45:00,1,0.75,-73.956778,40.767749999999999,1,,-73.965957000000003,40.765231999999997,CAS,4.5,0,0.5,0,0,5
DDS,2010-01-30 23:31:00,2010-01-30 23:46:12,1,5.9000000000000004,-73.996117999999996,40.763931999999997,1,,-73.981511999999995,40.741193000000003,CAS,15.300000000000001,0.5,0.5,0,0,16.300000000000001
DDS,2010-01-18 20:22:20,2010-01-18 20:38:12,1,4,-73.979673000000005,40.783790000000003,1,,-73.917851999999996,40.87856,CAS,11.699999999999999,0.5,0.5,0,0,12.699999999999999
VTS,2010-01-09 01:18:00,2010-01-09 01:35:00,2,4.7000000000000002,-73.977922000000007,40.763997000000003,1,,-73.923907999999997,40.759725000000003,CAS,13.300000000000001,0.5,0.5,0,0,14.300000000000001
CMT,2010-01-18 19:10:14,2010-01-18 19:17:07,1,0.59999999999999998,-73.990924000000007,40.734681999999999,1,0,-73.995510999999993,40.739088000000002,Cre,5.2999999999999998,0,0.5,0.87,0,6.6699999999999999
DDS,2010-01-23 18:40:25,2010-01-23 18:54:51,1,3.2999999999999998,0,0,1,,0,0,CRE,10.5,0,0.5,1,0,12
VTS,2010-01-17 09:18:00,2010-01-17 09:25:00,1,1.3300000000000001,-73.993746999999999,40.754916999999999,1,,-73.984714999999994,40.755927,CAS,6.0999999999999996,0,0.5,0,0,6.5999999999999996
VTS,2010-01-09 13:49:00,2010-01-09 13:56:00,1,1.8300000000000001,-73.971029999999999,40.751306999999997,1,,-73.990560000000002,40.734923000000002,CAS,6.9000000000000004,0,0.5,0,0,7.4000000000000004
